tract,Name,Employment_Rate
24027601104,"Ellicott City, MD",0.991
24510120202,"Baltimore, MD",0.9447
24005441101,"Rosedale, MD",0.934
24005420301,"Dundalk, MD",0.9242
24005492200,"Parkville, MD",0.9026
24510270703,"North Harford Road, Baltimore, MD",0.9017
24005403401,"Pikesville, MD",0.8961
24005411306,"Nottingham, MD",0.8921
24510130805,"Cold Springs, Baltimore, MD",0.8895
24003731309,"Riviera Beach, MD",0.8853
24005452400,"Dundalk, MD",0.883
24005491100,"Baltimore, MD",0.8795
24005403500,"Pikesville, MD",0.8742
24003740103,"Hanover, MD",0.8736
24003750900,"Glen Burnie, MD",0.8736
24510250206,"Morrell Park, Baltimore, MD",0.8716
24003730204,"Glen Burnie, MD",0.8644
24510271200,"Homeland, Baltimore, MD",0.8505
24027601204,"Elkridge, MD",0.8439
24005440702,"Rosedale, MD",0.8438
24005400702,"Baltimore, MD",0.8422
24005411410,"Parkville, MD",0.8409
24005400400,"Catonsville, MD",0.84
24005430400,"Halethorpe, MD",0.8393
24510270200,"Lauraville, Baltimore, MD",0.8313
24005403300,"Lochearn, Pikesville, MD",0.8307
24510250303,"Morrell Park, Baltimore, MD",0.8292
24003730401,"Glen Burnie, MD",0.8283
24005450100,"Rosedale, MD",0.8261
24003751400,"Severn, MD",0.824
24510272006,"Glen, Baltimore, MD",0.8238
24005492001,"Parkville, MD",0.8233
24005411407,"Parkville, MD",0.8232
24510010500,"Upper Fells Point, Baltimore, MD",0.8232
24005440300,"Nottingham, MD",0.8224
24510120201,"Baltimore, MD",0.8223
24510120100,"Tuscany - Canterbury, Baltimore, MD",0.8215
24510270301,"Lauraville, Baltimore, MD",0.821
24003740201,"South Gate, Glen Burnie, MD",0.819
24510130806,"Woodberry, Baltimore, MD",0.8185
24005430200,"Lansdowne - Baltimore Highlands, Lansdowne, MD",0.8185
24005401200,"Woodlawn, MD",0.8169
24003730100,"Chestnut Hill Cove, Riviera Beach, MD",0.815
24510250101,"Beechfield, Baltimore, MD",0.8145
24003751102,"Glen Burnie, MD",0.8145
24005403602,"Baltimore, MD",0.8143
24005403100,"Gwynn Oak, Pikesville, MD",0.814
24003730203,"Glen Burnie, MD",0.813
24027601201,"Elkridge, MD",0.8128
24005492101,"Parkville, MD",0.8096
24005402403,"Gwynn Oak, Baltimore, MD",0.8083
24003750202,"Brooklyn Park, MD",0.8068
24005492300,"Essex, MD",0.8067
24510270600,"Harford - Echodale - Perring Parkway, Baltimore, MD",0.8067
24510270802,"Ramblewood, Baltimore, MD",0.8039
24005491600,"Parkville, MD",0.8033
24510270902,"Perring Loch, Baltimore, MD",0.8009
24005451300,"Middle River, MD",0.8006
24005403201,"Gwynn Oak, Lochearn, MD",0.8
24510170100,"Downtown, Baltimore, MD",0.7987
24003751200,"Linthicum Heights, MD",0.7986
24005491401,"Parkville, MD",0.7966
24510270903,"Hillen, Baltimore, MD",0.7949
24005400200,"Catonsville, MD",0.7946
24510150500,"Burleith-Leighton, Baltimore, MD",0.7942
24003750201,"Brooklyn, Baltimore, MD",0.7937
24510270801,"Idlewood, Baltimore, MD",0.7929
24510090200,"Ednor Gardens - Lakeside, Baltimore, MD",0.792
24510270702,"Harford - Echodale - Perring Parkway, Baltimore, MD",0.7909
24510270102,"Waltherson, Baltimore, MD",0.7896
24510270901,"New Northwood, Baltimore, MD",0.789
24510272007,"Fallstaff, Baltimore, MD",0.7888
24510040200,"Downtown, Baltimore, MD",0.7887
24510272004,"Cheswolde, Baltimore, MD",0.7885
24510260101,"Cedmont, Baltimore, MD",0.7878
24510280401,"Baltimore, MD",0.7875
24005403402,"Pikesville, MD",0.7874
24005403601,"Baltimore, MD",0.7866
24510090300,"Ednor Gardens - Lakeside, Baltimore, MD",0.7863
24005403701,"Owings Mills, MD",0.7856
24510270101,"Arcadia, Baltimore, MD",0.7853
24510280200,"Gwynn Oak, Baltimore, MD",0.7836
24005401101,"Woodlawn, MD",0.7835
24510280402,"Rognel Heights, Baltimore, MD",0.783
24005402404,"Gwynn Oak, Lochearn, MD",0.7821
24005411408,"Nottingham, MD",0.7817
24005440400,"Baltimore, MD",0.7814
24003750803,"Glen Burnie, MD",0.7809
24510220100,"Baltimore, MD",0.7802
24005420401,"Dundalk, MD",0.7792
24005400800,"Catonsville, MD",0.7781
24005492102,"Parkville, MD",0.7768
24005430900,"Baltimore, MD",0.7764
24005411307,"Nottingham, MD",0.7763
24510080302,"Berea, Baltimore, MD",0.7755
24005441102,"Rosedale, MD",0.7752
24005491300,"Baltimore, MD",0.7749
24005400100,"Catonsville, MD",0.7744
24510151100,"East Arlington, Baltimore, MD",0.7731
24003750804,"Glen Burnie, MD",0.7727
24510271002,"Winston - Govans, Baltimore, MD",0.7724
24510280403,"Westgate, Baltimore, MD",0.7716
24510260302,"Belair - Edison, Baltimore, MD",0.7715
24005403202,"Gwynn Oak, Baltimore, MD",0.7715
24510151200,"Park Circle, Baltimore, MD",0.7713
24510260102,"Frankford, Baltimore, MD",0.7696
24510270803,"Loch Raven, Baltimore, MD",0.7687
24005491402,"Parkville, MD",0.768
24510140100,"Bolton Hill, Baltimore, MD",0.7678
24005401301,"Woodlawn, MD",0.767
24005402405,"Gwynn Oak, Baltimore, MD",0.7666
24005451100,"Essex, MD",0.7661
24510270502,"North Harford Road, Baltimore, MD",0.7659
24510150800,"Garwyn Oaks, Baltimore, MD",0.7655
24003751103,"Glen Burnie, MD",0.7653
24005402305,"Lochearn, Pikesville, MD",0.764
24510200100,"Lexington, Baltimore, MD",0.7633
24510270302,"Waltherson, Baltimore, MD",0.7618
24005440800,"Rosedale, MD",0.7611
24510080101,"Belair - Edison, Baltimore, MD",0.7606
24005450501,"Essex, MD",0.7605
24510110100,"Downtown, Baltimore, MD",0.758
24003750801,"Glen Burnie, MD",0.7579
24510150900,"Windsor Hills, Baltimore, MD",0.7556
24510260402,"Frankford, Baltimore, MD",0.7549
24005401302,"Gwynn Oak, Baltimore, MD",0.7546
24510260203,"Frankford, Baltimore, MD",0.7543
24005430101,"Lansdowne - Baltimore Highlands, Lansdowne, MD",0.7538
24510151000,"Dorchester, Baltimore, MD",0.7531
24510250203,"Cherry Hill, Baltimore, MD",0.753
24510270401,"Glenham-Belford, Baltimore, MD",0.7524
24510200702,"Saint Joseph's, Baltimore, MD",0.7518
24510260201,"Frankford, Baltimore, MD",0.7497
24510271900,"Glen, Baltimore, MD",0.7493
24510250401,"Brooklyn, Baltimore, MD",0.7491
24510150600,"NW Community Action, Baltimore, MD",0.7478
24510280101,"Reisterstown Station, Baltimore, MD",0.7461
24510280500,"Pleasant View Gardens, Baltimore, MD",0.7459
24510271600,"Edgecomb, Baltimore, MD",0.7459
24510270804,"Lake Walker, Baltimore, MD",0.7453
24510280404,"Irvington, Baltimore, MD",0.7453
24005490900,"Towson, MD",0.7449
24510080600,"Broadway East, Baltimore, MD",0.7446
24510090100,"Ednor Gardens - Lakeside, Baltimore, MD",0.744
24510150701,"Hanlon Longwood, Baltimore, MD",0.744
24005401102,"Gwynn Oak, Woodlawn, MD",0.7431
24510130300,"Penn North, Baltimore, MD",0.742
24510280302,"West Forest Park, Baltimore, MD",0.7413
24005421300,"Dundalk, MD",0.7412
24005441000,"Baltimore, MD",0.741
24510120400,"Barclay, Baltimore, MD",0.741
24005440900,"Rosedale, MD",0.7408
24510200800,"Irvington, Baltimore, MD",0.7407
24510080102,"Belair - Edison, Baltimore, MD",0.7407
24510090500,"Better Waverly, Baltimore, MD",0.7403
24510271801,"Arlington, Baltimore, MD",0.7401
24510271802,"Langston Hughes, Baltimore, MD",0.7401
24005400600,"Catonsville, MD",0.7399
24510150702,"Walbrook, Baltimore, MD",0.7398
24510120300,"Harwood, Baltimore, MD",0.7393
24510271101,"Radnor - Winston, Baltimore, MD",0.7387
24510090700,"Coldstream - Homestead - Montebello, Baltimore, MD",0.7384
24510270701,"Harford - Echodale - Perring Parkway, Baltimore, MD",0.7377
24510020100,"Upper Fells Point, Baltimore, MD",0.7373
24510271001,"Baltimore, MD",0.7371
24510130700,"Hampden, Baltimore, MD",0.7362
24005421101,"Baltimore, MD",0.7354
24510200701,"Allendale, Baltimore, MD",0.7352
24510160600,"Mosher, Baltimore, MD",0.7351
24510160802,"Edmondson, Baltimore, MD",0.7349
24510250500,"Curtis Bay, Baltimore, MD",0.734
24510200400,"Shipley Hill, Baltimore, MD",0.7339
24510190200,"Pratt Monroe, Baltimore, MD",0.7338
24510280102,"Gwynn Oak, Baltimore, MD",0.7333
24510260403,"Cedonia, Baltimore, MD",0.7332
24510160801,"Edmondson, Baltimore, MD",0.7325
24510060200,"Baltimore, MD",0.7294
24510270805,"Mid-Govans, Baltimore, MD",0.7285
24510260700,"Fifteenth Street, Baltimore, MD",0.7284
24510100100,"Johnson Square, Baltimore, MD",0.7271
24510010200,"Patterson Park, Baltimore, MD",0.7269
24510260202,"Parkside, Baltimore, MD",0.7268
24510250205,"Lakeland, Baltimore, MD",0.7252
24005440701,"Rosedale, MD",0.7252
24510160500,"Bridgeview-Greenlawn, Baltimore, MD",0.725
24005492002,"Parkville, MD",0.7239
24005451200,"Middle River, MD",0.7236
24510250102,"Yale Heights, Baltimore, MD",0.7235
24510160700,"Rosemont, Baltimore, MD",0.7231
24510090400,"Better Waverly, Baltimore, MD",0.7224
24510170300,"Upton, Baltimore, MD",0.7221
24510280301,"Gwynn Oak, Baltimore, MD",0.7217
24510151300,"Central Park Heights, Baltimore, MD",0.7207
24510271501,"Mount Washington, Baltimore, MD",0.7205
24510271700,"Central Park Heights, Baltimore, MD",0.7204
24510120500,"Greenmount West, Baltimore, MD",0.7202
24510040100,"Downtown, Baltimore, MD",0.719
24510130400,"Woodbrook, Baltimore, MD",0.7186
24510070100,"Baltimore, MD",0.7186
24510130100,"Reservoir Hill, Baltimore, MD",0.7168
24510080700,"Broadway East, Baltimore, MD",0.7163
24510272003,"Baltimore, MD",0.716
24510270402,"Glenham-Belford, Baltimore, MD",0.7159
24510090900,"Oliver, Baltimore, MD",0.7152
24510200200,"Lexington, Baltimore, MD",0.715
24510090600,"Coldstream - Homestead - Montebello, Baltimore, MD",0.7131
24510260404,"Baltimore Highlands, Baltimore, MD",0.7119
24005420900,"Dundalk, MD",0.7111
24510080400,"Broadway East, Baltimore, MD",0.7098
24510160300,"Sandtown-Winchester, Baltimore, MD",0.7091
24510140200,"Upton, Baltimore, MD",0.7091
24510250204,"Cherry Hill, Baltimore, MD",0.708
24510210200,"Pigtown, Baltimore, MD",0.7074
24003750400,"Linthicum Heights, MD",0.7064
24510170200,"McCulloh Homes, Baltimore, MD",0.7063
24005491500,"Parkville, MD",0.7059
24510150200,"Sandtown-Winchester, Baltimore, MD",0.7058
24510210100,"Pigtown, Baltimore, MD",0.7051
24005430700,"Halethorpe, MD",0.703
24510260501,"Joseph Lee, Baltimore, MD",0.7025
24510080200,"Broadway East, Baltimore, MD",0.7019
24510030100,"Perkins Homes, Baltimore, MD",0.7017
24510250207,"Cherry Hill, Baltimore, MD",0.7013
24005400701,"Catonsville, MD",0.6999
24510250103,"Violetville, Baltimore, MD",0.6997
24510270501,"Woodring, Baltimore, MD",0.6994
24510272005,"Cross Country, Baltimore, MD",0.6989
24510150400,"Mondawmin, Baltimore, MD",0.6988
24510150300,"Coppin Heights, Baltimore, MD",0.6985
24510260301,"Belair - Edison, Baltimore, MD",0.6976
24510160400,"Midtown Edmondson, Baltimore, MD",0.6966
24510030200,"Little Italy, Baltimore, MD",0.6952
24510080500,"Darley Park, Baltimore, MD",0.6939
24003730300,"Glen Burnie, MD",0.6934
24003740102,"Hanover, MD",0.6933
24510070200,"Madison - Eastend, Baltimore, MD",0.6924
24510150100,"Sandtown-Winchester, Baltimore, MD",0.6924
24510160200,"Sandtown-Winchester, Baltimore, MD",0.6923
24510180200,"Poppleton, Baltimore, MD",0.6914
24005440200,"Nottingham, MD",0.6897
24510070400,"Gay Street, Baltimore, MD",0.689
24510080301,"Berea, Baltimore, MD",0.689
24510070300,"Milton - Montford, Baltimore, MD",0.6882
24005411303,"Nottingham, MD",0.6879
24510120700,"Remington, Baltimore, MD",0.6877
24510110200,"Downtown, Baltimore, MD",0.6875
24510090800,"East Baltimore Midway, Baltimore, MD",0.6871
24510130200,"Reservoir Hill, Baltimore, MD",0.6863
24510060100,"Patterson Park, Baltimore, MD",0.6862
24510271102,"Mid-Charles, Baltimore, MD",0.6858
24510250301,"Westport, Baltimore, MD",0.6857
24510260604,"O'Donnell Heights, Baltimore, MD",0.6854
24510080800,"Broadway East, Baltimore, MD",0.6839
24510180300,"Hollins Market, Baltimore, MD",0.6795
24510260605,"Medford - Broening, Baltimore, MD",0.6791
24510200600,"Baltimore, MD",0.677
24005411404,"Parkville, MD",0.6743
24510160100,"Harlem Park, Baltimore, MD",0.673
24005421102,"Dundalk, MD",0.6728
24510230100,"Baltimore, MD",0.672
24510260303,"Claremont - Freedom, Baltimore, MD",0.6652
24510261000,"Patterson Park, Baltimore, MD",0.66
24510190100,"Franklin Square, Baltimore, MD",0.6577
24510140300,"Druid Heights, Baltimore, MD",0.656
24510060300,"Butchers Hill, Baltimore, MD",0.6503
24510100200,"Baltimore, MD",0.6493
24003750101,"Brooklyn Park, MD",0.6484
24510180100,"Poppleton, Baltimore, MD",0.6438
24510120600,"Old Goucher, Baltimore, MD",0.6402
24510060400,"Baltimore, MD",0.6374
24510200300,"Bentalou-Smallwood, Baltimore, MD",0.6313
24510200500,"Mill Hill, Baltimore, MD",0.6278
24510250402,"Brooklyn, Baltimore, MD",0.6201
24003751000,"Glen Burnie, MD",0.608
24510190300,"Mount Clare, Baltimore, MD",0.5904
24005430300,"Lansdowne - Baltimore Highlands, Halethorpe, MD",0.5819
24510130803,"Medfield, Baltimore, MD",0.5773
24510260800,"Baltimore Highlands, Baltimore, MD",0.5772
24510020200,"Upper Fells Point, Baltimore, MD",0.5034
24005430600,"Relay, Halethorpe, MD",
24005492500,"Baltimore, MD",
24005430104,"Lansdowne - Baltimore Highlands, Halethorpe, MD",
24005420302,"Dundalk, MD",
24005421200,"Dundalk, MD",
24005420100,"Dundalk, MD",
24510230200,"South Baltimore, Baltimore, MD",
24005420800,"Dundalk, MD",
24510010300,"Canton, Baltimore, MD",
24005403802,"Pikesville, MD",
24005440600,"Rosedale, MD",
24005491000,"Baltimore, MD",
24005420701,"Dundalk, MD",
24510240400,"Riverside Park, Baltimore, MD",
24005490605,"Towson, MD",
24510260900,"Baltimore, MD",
24510020300,"Fells Point, Baltimore, MD",
24005420303,"Dundalk, MD",
24003750102,"Baltimore, MD",
24510250600,"Brooklyn, Baltimore, MD",
24005452300,"Baltimore, MD",
24005452500,"Dundalk, MD",
24005490703,"Towson, MD",
24005440100,"Baltimore, MD",
24510230300,"South Baltimore, Baltimore, MD",
24005980200,"Lansdowne - Baltimore Highlands, Halethorpe, MD",
24005420200,"Dundalk, MD",
24005450200,"Essex, MD",
24005440500,"Nottingham, MD",
24005490602,"Baltimore, MD",
24005490601,"Baltimore, MD",
24005430800,"Halethorpe, MD",
24005420402,"Dundalk, MD",
24510240300,"Riverside, Baltimore, MD",
24005490800,"Towson, MD",
24005450400,"Essex, MD",
24510240200,"Riverside, Baltimore, MD",
24005421000,"Dundalk, MD",
24510010100,"Canton, Baltimore, MD",
24005411308,"Nottingham, MD",
24005490701,"Towson, MD",
24510010400,"Canton, Baltimore, MD",
24005490500,"Towson, MD",
24510261100,"Canton, Baltimore, MD",
24005420500,"Baltimore, MD",
24005452100,"Sparrows Point, MD",
24510130804,"Hampden, Baltimore, MD",
24005403803,"Pikesville, MD",
24005491201,"Towson, MD",
24003750300,"Linthicum Heights, MD",
24005491900,"Parkville, MD",
24003750203,"Baltimore, MD",
24005490603,"Baltimore, MD",
24005490400,"Towson, MD",
24510271400,"Evergreen, Baltimore, MD",
24005420702,"Dundalk, MD",
24510240100,"Locust Point, Baltimore, MD",
24005420600,"Baltimore, MD",
24510100300,"Penn - Fallsway, Baltimore, MD",
24003731308,"Pasadena, MD",
24510271503,"Cross Keys, Baltimore, MD",
24510271300,"Roland Park, Baltimore, MD",
24005491202,"Towson, MD",
24003980000,"Linthicum Heights, MD",
24003731306,"Pasadena, MD",
24510260401,"Armistead Gardens, Baltimore, MD",
24005450300,"Essex, MD",
24510130600,"Hampden, Baltimore, MD",
