tract,Name,Employment_Rate
24510270802,"Ramblewood, Baltimore, MD",0.9102
24510090200,"Ednor Gardens - Lakeside, Baltimore, MD",0.9024
24510020300,"Fells Point, Baltimore, MD",0.8923
24510070100,"Baltimore, MD",0.8846
24005491300,"Baltimore, MD",0.8809
24510271501,"Mount Washington, Baltimore, MD",0.8754
24005490701,"Towson, MD",0.8733
24005490302,"Towson, MD",0.8719
24005491701,"Parkville, MD",0.8634
24510270200,"Lauraville, Baltimore, MD",0.8586
24005411303,"Nottingham, MD",0.8584
24005490602,"Baltimore, MD",0.8579
24510271200,"Homeland, Baltimore, MD",0.8555
24510220100,"Baltimore, MD",0.8468
24005441101,"Rosedale, MD",0.8457
24005492600,"Parkville, MD",0.8456
24005491000,"Baltimore, MD",0.8454
24005403802,"Pikesville, MD",0.8451
24005492101,"Parkville, MD",0.8451
24005490603,"Baltimore, MD",0.8445
24510200800,"Irvington, Baltimore, MD",0.8439
24510280401,"Baltimore, MD",0.8419
24005491401,"Parkville, MD",0.8414
24005491900,"Parkville, MD",0.8406
24005440200,"Nottingham, MD",0.8386
24005411406,"Nottingham, MD",0.8382
24510040100,"Downtown, Baltimore, MD",0.8373
24005400200,"Catonsville, MD",0.837
24510270502,"North Harford Road, Baltimore, MD",0.8337
24003750400,"Linthicum Heights, MD",0.8336
24005430600,"Relay, Halethorpe, MD",0.8333
24003740103,"Hanover, MD",0.832
24005440900,"Rosedale, MD",0.831
24005490301,"Towson, MD",0.8297
24003730204,"Glen Burnie, MD",0.8289
24027601201,"Elkridge, MD",0.8266
24005491600,"Parkville, MD",0.8261
24510270903,"Hillen, Baltimore, MD",0.8218
24005411404,"Parkville, MD",0.8214
24005403803,"Pikesville, MD",0.8212
24003750801,"Glen Burnie, MD",0.8212
24510271300,"Roland Park, Baltimore, MD",0.8207
24005403602,"Baltimore, MD",0.8189
24005440500,"Nottingham, MD",0.8183
24510260201,"Frankford, Baltimore, MD",0.8166
24510270702,"Harford - Echodale - Perring Parkway, Baltimore, MD",0.8157
24005490601,"Baltimore, MD",0.8151
24003731310,"Green Haven, Pasadena, MD",0.8149
24005490100,"Towson, MD",0.8143
24003751400,"Severn, MD",0.8138
24510270801,"Idlewood, Baltimore, MD",0.8128
24510280301,"Gwynn Oak, Baltimore, MD",0.8123
24005491500,"Parkville, MD",0.8119
24510080101,"Belair - Edison, Baltimore, MD",0.8107
24005451200,"Middle River, MD",0.8106
24005411407,"Parkville, MD",0.8099
24510240200,"Riverside, Baltimore, MD",0.8093
24510260102,"Frankford, Baltimore, MD",0.809
24510270402,"Glenham-Belford, Baltimore, MD",0.8083
24003750804,"Glen Burnie, MD",0.8079
24510250102,"Yale Heights, Baltimore, MD",0.8073
24005492102,"Parkville, MD",0.807
24510270805,"Mid-Govans, Baltimore, MD",0.8063
24510270302,"Waltherson, Baltimore, MD",0.8057
24510260303,"Claremont - Freedom, Baltimore, MD",0.8049
24005440100,"Baltimore, MD",0.8048
24510271503,"Cross Keys, Baltimore, MD",0.8038
24005403601,"Baltimore, MD",0.8037
24510260202,"Parkside, Baltimore, MD",0.8024
24510010100,"Canton, Baltimore, MD",0.8012
24510020100,"Upper Fells Point, Baltimore, MD",0.8009
24510260301,"Belair - Edison, Baltimore, MD",0.8007
24510270101,"Arcadia, Baltimore, MD",0.7994
24510270803,"Loch Raven, Baltimore, MD",0.7991
24005420900,"Dundalk, MD",0.7991
24005411408,"Nottingham, MD",0.7985
