tract,Name,Employment_Rate
51013103401,"Fort Myer, Arlington, VA",0.9676
51013101802,"Court House, Arlington, VA",0.9584
51013102802,"Claremont, Arlington, VA",0.9514
11001006500,"Southeast Washington, Washington, DC",0.9302
51013101702,"Radnor - Fort Myer Heights, Arlington, VA",0.9212
51059452400,"Springfield, VA",0.901
51059420203,"Alexandria, VA",0.9007
24033800706,"Upper Marlboro, MD",0.8962
24033806708,"Greenbelt, MD",0.8956
24033801104,"Joint Base Andrews, MD",0.8911
51059452102,"Annandale, VA",0.8886
11001007301,"Southwest Washington, Washington, DC",0.8851
51059420300,"Alexandria, VA",0.8808
51013101500,"Lyon Village, Arlington, VA",0.8759
24033806300,"Hyattsville, MD",0.8743
51510200802,"Taylor Run, Alexandria, VA",0.8722
24033802201,"Upper Marlboro, MD",0.8694
24033806712,"Greenbelt, MD",0.8677
51013102702,"Douglas Park, Arlington, VA",0.8649
51510201400,"Potomac West, Alexandria, VA",0.864
51013103300,"Arlington Views, Arlington, VA",0.8631
24031702000,"New Hampshire Estates, Silver Spring, MD",0.8615
51510201300,"Del Ray, Alexandria, VA",0.8605
24031701703,"Takoma Park, MD",0.86
51013100900,"Tara - Leeway Heights, Arlington, VA",0.859
24033805801,"Adelphi, MD",0.8562
51059420503,"Alexandria, VA",0.8561
51059451601,"Bailey's Crossroads, VA",0.853
24033805904,"Hyattsville, MD",0.8526
51510200106,"Alexandria West, Alexandria, VA",0.8507
11001004902,"Downtown, Washington, DC",0.8492
51059430600,"Springfield, VA",0.8468
51059451400,"Seven Corners, VA",0.8456
24033804200,"Cheverly, MD",0.8454
11001001002,"Cathedral Heights, Washington, DC",0.8454
11001001600,"Northwest Washington, Washington, DC",0.8444
51059471100,"Falls Church, VA",0.8432
24033803512,"Upper Marlboro, MD",0.8412
11001001901,"Brightwood, Washington, DC",0.8411
24033806706,"Greenbelt, MD",0.841
11001003900,"Lanier Heights, Washington, DC",0.8391
24033801706,"Temple Hills, MD",0.8372
24033803516,"Bowie, MD",0.8358
51059452501,"Alexandria, VA",0.8356
24033803602,"Glenarden, MD",0.8355
24033805202,"Takoma Park, MD",0.8351
11001001500,"Northwest Washington, Washington, DC",0.8338
24033801408,"Fort Washington, MD",0.8334
51059420100,"Springfield, VA",0.8321
24033803524,"Hyattsville, MD",0.8311
24033803521,"Bowie, MD",0.8311
51059452101,"Annandale, VA",0.8308
11001007807,"Northeast Washington, Washington, DC",0.8301
24033801905,"Suitland, Camp Springs, MD",0.8301
11001010100,"Downtown, Washington, DC",0.83
24033806710,"Greenbelt, MD",0.83
24031702700,"Silver Spring, MD",0.8299
24033802204,"District Heights, MD",0.8298
24033804002,"Bladensburg, MD",0.8284
24033805602,"Hyattsville, MD",0.8276
24033803601,"Springdale, MD",0.826
51013102902,"Shirlington, Arlington, VA",0.8253
24033801901,"Temple Hills, MD",0.8246
51059420201,"Alexandria, VA",0.824
24033804900,"Hyattsville, MD",0.8238
24033803803,"Riverdale, Woodlawn, MD",0.8228
24033805101,"Chillum, MD",0.822
11001009504,"Michigan Park, Washington, DC",0.8214
24033801904,"Suitland, Camp Springs, MD",0.8205
51059420600,"Groveton, Alexandria, VA",0.8204
51013100800,"High View Park, Arlington, VA",0.8202
24033805201,"Hyattsville, MD",0.8198
24033802203,"Forestville, MD",0.8193
24033802301,"District Heights, MD",0.8193
24031702500,"Downtown Silver Spring, Silver Spring, MD",0.8175
11001011000,"Southwest Washington, Washington, DC",0.8174
51610500200,"Falls Church, VA",0.8172
51510200107,"Alexandria West, Alexandria, VA",0.8169
24033806200,"Hyattsville, MD",0.8167
11001001902,"Manor Park, Washington, DC",0.8165
11001004201,"Northwest Washington, Washington, DC",0.8156
24033805802,"Hyattsville, MD",0.8149
24033801407,"Fort Washington, MD",0.8144
24033801500,"Oxon Hill, MD",0.814
11001002600,"Northwest Washington, Washington, DC",0.8139
24033801211,"Clinton, MD",0.8139
11001010300,"Northwest Washington, Washington, DC",0.8127
51510201202,"Potomac West, Alexandria, VA",0.8122
24033801404,"National Harbor, Oxon Hill, MD",0.812
24031701701,"Takoma Park, MD",0.812
11001002302,"Northwest Washington, Washington, DC",0.8119
24031702601,"Downtown Silver Spring, Silver Spring, MD",0.8111
24033803610,"New Carrollton, MD",0.8093
24033803605,"New Carrollton, MD",0.809
24033802103,"District Heights, MD",0.8085
11001007809,"Northeast Washington, Washington, DC",0.808
24033806711,"Greenbelt, MD",0.8072
11001004300,"Northwest Washington, Washington, DC",0.8065
11001009302,"Brookland, Washington, DC",0.8053
11001009503,"Northeast Washington, Washington, DC",0.8051
11001009201,"Edgewood, Washington, DC",0.8046
24031701800,"Takoma Park, MD",0.8044
24033802501,"Suitland, Suitland-Silver Hill, MD",0.8044
24033800701,"Upper Marlboro, MD",0.8038
24031702602,"Silver Spring, MD",0.8036
24031701704,"Takoma Park, MD",0.8023
24033804102,"Hyattsville, MD",0.8017
24033803001,"Capitol Heights, MD",0.8011
24033805908,"Chillum, MD",0.8002
51510200303,"Landmark, Alexandria, VA",0.8002
11001002702,"Mount Pleasant, Washington, DC",0.8
24033805000,"Hyattsville, MD",0.7997
24033801212,"Camp Springs, MD",0.7992
24031702301,"Silver Spring, MD",0.7992
51510200600,"Seminary Hill, Alexandria, VA",0.799
51013103200,"Columbia Heights, Arlington, VA",0.7987
24033807102,"Riverdale, Riverdale Park, MD",0.7982
24033803801,"Hyattsville, MD",0.7979
11001009507,"Northeast Washington, Washington, DC",0.7977
51510200500,"Seminary Hill, Alexandria, VA",0.7977
24033800412,"Lanham, MD",0.7976
24033802803,"Capitol Heights, MD",0.797
51059452801,"Alexandria, VA",0.7967
51059450800,"Annandale, VA",0.7967
24033801708,"Oxon Hill, MD",0.796
24033801405,"Oxon Hill, MD",0.7959
51013103402,"Crystal City, Arlington, VA",0.7957
11001008301,"Northeast Washington, Washington, DC",0.7952
24033806100,"Hyattsville, MD",0.7952
24033802408,"Capitol Heights, MD",0.7951
24033800411,"Glenn Dale, MD",0.7951
24033803612,"Lanham, MD",0.7951
51059452700,"Falls Church, VA",0.795
24033803514,"Largo, MD",0.7949
51510200103,"Alexandria West, Alexandria, VA",0.7948
11001009901,"Penn Branch, Washington, DC",0.7948
11001004901,"Northwest Washington, Washington, DC",0.7939
11001009501,"Northeast Washington, Washington, DC",0.7936
51510200301,"Seminary Hill, Alexandria, VA",0.7934
24033800707,"Greater Upper Marlboro, Upper Marlboro, MD",0.7928
24031702402,"Silver Spring, MD",0.7924
11001005201,"Downtown, Washington, DC",0.7924
11001002101,"Brightwood Park, Washington, DC",0.792
24033803002,"Capitol Heights, MD",0.7919
11001009505,"Northeast Washington, Washington, DC",0.7916
11001007808,"Grant Park, Washington, DC",0.7916
51013102600,"Douglas Park, Arlington, VA",0.7914
24033803519,"Landover, Hyattsville, MD",0.7912
24033801701,"Temple Hills, MD",0.791
24033803608,"Lanham, MD",0.7902
24033802002,"District Heights, MD",0.79
24033802001,"Suitland, Suitland-Silver Hill, MD",0.7895
24033802502,"Capitol Heights, MD",0.7895
24033802700,"Capitol Heights, MD",0.789
24033807000,"College Park, MD",0.789
24033801801,"Temple Hills, MD",0.7889
11001010500,"Southwest Washington, Washington, DC",0.7886
11001001804,"Brightwood, Washington, DC",0.7882
24033802407,"District Heights, MD",0.7879
11001002400,"Northwest Washington, Washington, DC",0.7878
11001002001,"16th Street Heights, Washington, DC",0.7874
24033801804,"Temple Hills, MD",0.787
24033805601,"Hyattsville, MD",0.7867
24033801805,"Temple Hills, MD",0.7865
24033802405,"Suitland, Suitland-Silver Hill, MD",0.7848
51013102200,"Arlington Mill, Arlington, VA",0.7844
24033802901,"Capitol Heights, MD",0.7842
11001002201,"Northwest Washington, Washington, DC",0.7839
24033803606,"Lanham, MD",0.7839
24033805700,"Hyattsville, MD",0.7833
24033802404,"District Heights, MD",0.783
51013102701,"Douglas Park, Arlington, VA",0.7827
51510200405,"Landmark, Alexandria, VA",0.7826
11001009400,"Northeast Washington, Washington, DC",0.7821
51013102003,"Buckingham, Arlington, VA",0.7818
51013100700,"Arlington, VA",0.7809
24033806601,"Prince Georges County, MD",0.7805
24033801907,"Suitland, Suitland-Silver Hill, MD",0.7801
11001001200,"Northwest Washington, Washington, DC",0.7795
24033804600,"Brentwood, MD",0.7793
24033801807,"Hillcrest Heights, MD",0.7791
51510200104,"Alexandria West, Alexandria, VA",0.779
11001011100,"Northeast Washington, Washington, DC",0.7786
51510200407,"Landmark, Alexandria, VA",0.7785
24033801808,"Hillcrest Heights, MD",0.7784
24033804001,"Bladensburg, MD",0.7781
24033802107,"District Heights, MD",0.7779
24033806000,"Hyattsville, MD",0.7776
24033801802,"Temple Hills, MD",0.7774
51059452502,"Lincolnia, VA",0.7773
11001009508,"Northeast Washington, Washington, DC",0.7773
24033801908,"Suitland, Suitland-Silver Hill, MD",0.7769
11001006801,"Hill East, Washington, DC",0.7769
24033803607,"Lanham, MD",0.7768
11001007803,"Lower Central NE, Washington, DC",0.7763
51510201801,"Northeast Alexandria, Alexandria, VA",0.7758
11001001803,"Brightwood, Washington, DC",0.7756
51510200201,"Seminary Hill, Alexandria, VA",0.7752
24033806501,"Riverdale, Riverdale Park, MD",0.7751
24033804101,"Cheverly, MD",0.775
24033803200,"Hyattsville, MD",0.7747
51510201204,"Del Ray, Alexandria, VA",0.7747
24033802804,"Capitol Heights, MD",0.7746
24033806800,"Berwyn Heights, MD",0.7735
51510200900,"North Ridge, Alexandria, VA",0.7733
24033806602,"Riverdale, East Riverdale, MD",0.7731
24031701900,"Takoma Park, MD",0.7731
24033803300,"Hyattsville, MD",0.773
11001006700,"Southeast Washington, Washington, DC",0.7729
11001007708,"Southeast Washington, Washington, DC",0.7722
51510201600,"Old Town West, Alexandria, VA",0.7721
11001002002,"16th Street Heights, Washington, DC",0.772
11001002102,"Northwest Washington, Washington, DC",0.7711
11001007000,"Southeast Washington, Washington, DC",0.771
51059450300,"Falls Church, VA",0.7705
24031701702,"Takoma Park, MD",0.7704
51059451502,"Bailey's Crossroads, VA",0.7703
51510201203,"Potomac West, Alexandria, VA",0.7702
24033803402,"Landover, Hyattsville, MD",0.77
24033803700,"Hyattsville, MD",0.7694
11001004002,"Adams Morgan, Washington, DC",0.7694
11001002202,"Northwest Washington, Washington, DC",0.7684
11001009604,"Northeast Washington, Washington, DC",0.7676
51510200302,"Seminary Hill, Alexandria, VA",0.7671
51510200406,"Landmark, Alexandria, VA",0.7668
51510200102,"Alexandria West, Alexandria, VA",0.7667
11001003700,"Northwest Washington, Washington, DC",0.7666
51510201100,"North Ridge, Alexandria, VA",0.7665
24033803900,"Hyattsville, MD",0.7662
24033805500,"Hyattsville, MD",0.7661
51013103800,"Long Branch Creek, Arlington, VA",0.765
51059451900,"Alexandria, VA",0.7643
24033804700,"Mount Rainier, MD",0.764
24033801702,"Temple Hills, MD",0.7638
11001009000,"Fort Lincoln, Washington, DC",0.7637
24033802104,"District Heights, MD",0.7636
24033803509,"Dodge Park, Hyattsville, MD",0.7635
24033801409,"Fort Washington, MD",0.7632
24033805909,"Hyattsville, MD",0.7628
24033801906,"Morningside, MD",0.7628
24033803613,"Lanham, MD",0.7627
24033801704,"Oxon Hill, MD",0.7626
51059420400,"Alexandria, VA",0.7623
24033801707,"Oxon Hill, MD",0.7619
24033802406,"Suitland, Suitland-Silver Hill, MD",0.7617
11001007304,"Congress Heights, Washington, DC",0.7617
11001009903,"Southeast Washington, Washington, DC",0.7616
11001007603,"Southeast Washington, Washington, DC",0.7598
11001008001,"Northeast Washington, Washington, DC",0.7594
24033804400,"Brentwood, MD",0.7594
11001002301,"Northwest Washington, Washington, DC",0.7592
24033802805,"Pepper Mill Village, Capitol Heights, MD",0.759
11001004600,"Northwest Washington, Washington, DC",0.759
