tract,Name,Employment_Rate
51013102802,"Claremont, Arlington, VA",0.9568
11001006500,"Southeast Washington, Washington, DC",0.9388
24033805802,"Hyattsville, MD",0.9359
11001010300,"Northwest Washington, Washington, DC",0.9271
11001001702,"Northwest Washington, Washington, DC",0.92
51013102001,"Buckingham, Arlington, VA",0.9179
51013103602,"Aurora Highlands, Arlington, VA",0.9152
51510201600,"Old Town West, Alexandria, VA",0.911
11001007000,"Southeast Washington, Washington, DC",0.9106
24031701701,"Takoma Park, MD",0.9085
24033801212,"Camp Springs, MD",0.9021
11001003900,"Lanier Heights, Washington, DC",0.8971
51013101701,"Radnor - Fort Myer Heights, Arlington, VA",0.8955
51013101801,"Court House, Arlington, VA",0.8952
51510200702,"Eisenhower East, Alexandria, VA",0.8943
51013102400,"Arlington Heights, Arlington, VA",0.8942
51013102002,"Ashton Heights, Arlington, VA",0.8928
11001006802,"Barney Circle, Washington, DC",0.8905
24033806706,"Greenbelt, MD",0.8885
24033802700,"Capitol Heights, MD",0.8883
51059452000,"Annandale, VA",0.8883
11001010500,"Southwest Washington, Washington, DC",0.8872
51013100800,"High View Park, Arlington, VA",0.8829
11001005002,"Downtown, Washington, DC",0.8825
51013100400,"Arlington, VA",0.8812
11001002701,"Northwest Washington, Washington, DC",0.8759
24033806300,"Hyattsville, MD",0.8732
51059452102,"Annandale, VA",0.873
51059451400,"Seven Corners, VA",0.8696
24033803512,"Upper Marlboro, MD",0.8681
11001008402,"Northeast Washington, Washington, DC",0.8645
51013101401,"Bluemont, Arlington, VA",0.8632
51510201100,"North Ridge, Alexandria, VA",0.8632
11001001001,"American University Park, Washington, DC",0.863
51013102702,"Douglas Park, Arlington, VA",0.8628
24033806400,"University Park, MD",0.862
51510200500,"Seminary Hill, Alexandria, VA",0.8607
24033802301,"District Heights, MD",0.8607
11001008302,"Northeast Washington, Washington, DC",0.8605
51510200106,"Alexandria West, Alexandria, VA",0.8596
24033805700,"Hyattsville, MD",0.8596
51059451300,"Falls Church, VA",0.8594
24033806602,"Riverdale, East Riverdale, MD",0.8591
51013102600,"Douglas Park, Arlington, VA",0.8584
24033801905,"Suitland, Camp Springs, MD",0.858
24033806100,"Hyattsville, MD",0.8571
51059470500,"McLean, VA",0.8559
51059420203,"Alexandria, VA",0.8553
24033805801,"Adelphi, MD",0.8523
51013101900,"Ashton Heights, Arlington, VA",0.8516
51059451800,"Lincolnia, VA",0.8516
51013101602,"Colonial Village, Arlington, VA",0.8505
24031704804,"Bethesda, MD",0.8476
51059420201,"Alexandria, VA",0.8474
51510201400,"Potomac West, Alexandria, VA",0.8465
24033804102,"Hyattsville, MD",0.8431
51059470800,"McLean, VA",0.8431
24033805904,"Hyattsville, MD",0.8428
24031705200,"Chevy Chase, MD",0.8428
24033801702,"Temple Hills, MD",0.8418
51510201000,"North Ridge, Alexandria, VA",0.8418
11001010200,"Southwest Washington, Washington, DC",0.8416
24033803516,"Bowie, MD",0.8402
24033803607,"Lanham, MD",0.8395
11001001100,"Northwest Washington, Washington, DC",0.8384
24033804400,"Brentwood, MD",0.8381
11001006700,"Southeast Washington, Washington, DC",0.8379
24033805101,"Chillum, MD",0.8378
11001008301,"Northeast Washington, Washington, DC",0.8376
51013101000,"Arlington, VA",0.8375
51510200900,"North Ridge, Alexandria, VA",0.8373
51013100600,"Cherrydale, Arlington, VA",0.8371
51510200302,"Seminary Hill, Alexandria, VA",0.8363
51059450900,"Falls Church, VA",0.836
24031704805,"Bethesda, MD",0.8359
24033802407,"District Heights, MD",0.8354
51510200801,"Taylor Run, Alexandria, VA",0.8342
51510200404,"Landmark, Alexandria, VA",0.8336
51610500100,"Falls Church, VA",0.8336
51059450500,"Falls Church, VA",0.8332
11001000600,"Northwest Washington, Washington, DC",0.8331
51013103502,"Aurora Highlands, Arlington, VA",0.8326
24033804200,"Cheverly, MD",0.832
51510200104,"Alexandria West, Alexandria, VA",0.8319
51059452501,"Alexandria, VA",0.8318
51013100100,"Arlington, VA",0.8317
51013101200,"Dominion Hills, Arlington, VA",0.8316
24033800411,"Glenn Dale, MD",0.8301
51510200703,"Southwest Quadrant, Alexandria, VA",0.8296
11001004400,"Northwest Washington, Washington, DC",0.8289
51013102003,"Buckingham, Arlington, VA",0.8288
51059451501,"Falls Church, VA",0.8288
51013103401,"Fort Myer, Arlington, VA",0.8285
51510201500,"Potomac West, Alexandria, VA",0.8273
11001000202,"Georgetown, Washington, DC",0.8272
51059420600,"Groveton, Alexandria, VA",0.8269
51013103503,"Crystal City, Arlington, VA",0.8262
51059470300,"McLean, VA",0.8261
11001003800,"Northwest Washington, Washington, DC",0.826
51510202001,"Old Town, Alexandria, VA",0.8259
51059450800,"Annandale, VA",0.8252
51059451900,"Alexandria, VA",0.8248
51059451000,"Annandale, VA",0.8248
51059452101,"Annandale, VA",0.8247
24031705701,"Bethesda, MD",0.8244
51059470900,"Falls Church, VA",0.8237
51013102901,"Shirlington, Arlington, VA",0.8237
24033802103,"District Heights, MD",0.8214
24033806708,"Greenbelt, MD",0.8207
24033800707,"Greater Upper Marlboro, Upper Marlboro, MD",0.8201
24031702301,"Silver Spring, MD",0.8195
24031704700,"Bethesda, MD",0.8195
24033800701,"Upper Marlboro, MD",0.8189
51013100500,"Donaldson Run, Arlington, VA",0.8177
51013101500,"Lyon Village, Arlington, VA",0.8177
24033806800,"Berwyn Heights, MD",0.8172
51013102902,"Shirlington, Arlington, VA",0.8169
24033801104,"Joint Base Andrews, MD",0.8169
51013101300,"Bluemont, Arlington, VA",0.8168
11001000801,"Northwest Washington, Washington, DC",0.8164
24031702601,"Downtown Silver Spring, Silver Spring, MD",0.8162
24033803605,"New Carrollton, MD",0.8161
11001001500,"Northwest Washington, Washington, DC",0.8149
11001002001,"16th Street Heights, Washington, DC",0.8139
11001000300,"Northwest Washington, Washington, DC",0.8138
51013102302,"Barcroft, Arlington, VA",0.8137
11001005500,"Northwest Washington, Washington, DC",0.8137
51059470600,"McLean, VA",0.8136
51059450300,"Falls Church, VA",0.8133
51510200301,"Seminary Hill, Alexandria, VA",0.8124
24033804002,"Bladensburg, MD",0.8122
24033801407,"Fort Washington, MD",0.8115
51510200600,"Seminary Hill, Alexandria, VA",0.8112
24033806000,"Hyattsville, MD",0.8112
24031702700,"Silver Spring, MD",0.8109
24033803608,"Lanham, MD",0.8104
51059470400,"McLean, VA",0.8101
24033803613,"Lanham, MD",0.8092
51510200403,"Landmark, Alexandria, VA",0.8087
24031706009,"Potomac, MD",0.8081
11001004201,"Northwest Washington, Washington, DC",0.8075
51059420300,"Alexandria, VA",0.8068
24033806712,"Greenbelt, MD",0.8066
51059452400,"Springfield, VA",0.8065
51059420502,"Alexandria, VA",0.8061
51510201801,"Northeast Alexandria, Alexandria, VA",0.8059
51059452600,"Alexandria, VA",0.8057
51510200102,"Alexandria West, Alexandria, VA",0.8051
51610500200,"Falls Church, VA",0.8049
24033807000,"College Park, MD",0.8047
51013101803,"Lyon Park, Arlington, VA",0.8042
51510201300,"Del Ray, Alexandria, VA",0.8041
11001000901,"Northwest Washington, Washington, DC",0.804
51059470100,"McLean, VA",0.8037
51013100300,"Old Glebe, Arlington, VA",0.8036
24031701800,"Takoma Park, MD",0.8034
51610500300,"Falls Church, VA",0.8028
51013101404,"Virginia Square, Arlington, VA",0.8028
51013101802,"Court House, Arlington, VA",0.8023
51013101703,"Radnor - Fort Myer Heights, Arlington, VA",0.8018
51510200107,"Alexandria West, Alexandria, VA",0.8013
51013100900,"Tara - Leeway Heights, Arlington, VA",0.8003
51013103000,"Shirlington, Arlington, VA",0.7998
51013103601,"Aurora Highlands, Arlington, VA",0.7991
24031705800,"Glen Echo, MD",0.7981
24031705400,"Chevy Chase, MD",0.7975
51059452802,"Bailey's Crossroads, VA",0.7975
24033801901,"Temple Hills, MD",0.7973
51059451502,"Bailey's Crossroads, VA",0.7965
24031701703,"Takoma Park, MD",0.7964
51059451100,"Falls Church, VA",0.7957
11001004202,"Northwest Washington, Washington, DC",0.7957
51013100200,"Yorktown, Arlington, VA",0.7957
11001002600,"Northwest Washington, Washington, DC",0.7945
11001000702,"Northwest Washington, Washington, DC",0.7937
24033801405,"Oxon Hill, MD",0.7934
51013100700,"Arlington, VA",0.7928
24033804101,"Cheverly, MD",0.7925
51059452801,"Alexandria, VA",0.7923
51013101100,"East Falls Church, Arlington, VA",0.7915
51013102100,"Glencarlyn, Arlington, VA",0.7915
11001000701,"Cathedral Heights, Washington, DC",0.791
24033801404,"National Harbor, Oxon Hill, MD",0.7908
51510201202,"Potomac West, Alexandria, VA",0.7902
51059450200,"Falls Church, VA",0.79
51510200103,"Alexandria West, Alexandria, VA",0.7896
24031702602,"Silver Spring, MD",0.7896
24031705300,"Chevy Chase, MD",0.7893
51013103800,"Long Branch Creek, Arlington, VA",0.789
24033802001,"Suitland, Suitland-Silver Hill, MD",0.7886
51059471100,"Falls Church, VA",0.7884
11001001302,"Forest Hills, Washington, DC",0.7883
24031706008,"Potomac, MD",0.788
24033806711,"Greenbelt, MD",0.7872
24031702000,"New Hampshire Estates, Silver Spring, MD",0.787
24031705100,"Chevy Chase, MD",0.7855
51013103100,"Nauck, Arlington, VA",0.7855
51059415200,"Alexandria, VA",0.7854
51059420700,"Alexandria, VA",0.7853
51059480100,"Great Falls, VA",0.7846
24033804700,"Mount Rainier, MD",0.7844
11001001402,"Northwest Washington, Washington, DC",0.7842
51013103700,"Arlington Ridge, Arlington, VA",0.7837
11001000802,"Northwest Washington, Washington, DC",0.7836
24033801701,"Temple Hills, MD",0.7826
11001007301,"Southwest Washington, Washington, DC",0.782
51510200405,"Landmark, Alexandria, VA",0.7813
24033805500,"Hyattsville, MD",0.7794
24033801707,"Oxon Hill, MD",0.779
24033803700,"Hyattsville, MD",0.7782
24031705901,"Bethesda, MD",0.7779
51059470700,"McLean, VA",0.7778
51059451602,"Falls Church, VA",0.7777
11001004001,"Adams Morgan, Washington, DC",0.7768
11001010100,"Downtown, Washington, DC",0.7762
24031705501,"Chevy Chase, MD",0.776
24031705601,"Bethesda, MD",0.7748
11001000502,"Northwest Washington, Washington, DC",0.7742
51013102200,"Arlington Mill, Arlington, VA",0.7742
51510200201,"Seminary Hill, Alexandria, VA",0.7741
24031705702,"Bethesda, MD",0.774
51510202002,"Old Town, Alexandria, VA",0.7738
11001000902,"Northwest Washington, Washington, DC",0.7731
51059420503,"Alexandria, VA",0.7729
11001002802,"Columbia Heights, Washington, DC",0.7726
24033802203,"Forestville, MD",0.7717
24031704600,"Bethesda, MD",0.7716
11001005800,"Northwest Washington, Washington, DC",0.7714
51510201802,"Old Town, Alexandria, VA",0.7712
11001009504,"Michigan Park, Washington, DC",0.7709
11001004002,"Adams Morgan, Washington, DC",0.7701
24033800412,"Lanham, MD",0.7699
51510200701,"Eisenhower West, Alexandria, VA",0.7696
51059452502,"Lincolnia, VA",0.7693
24033800706,"Upper Marlboro, MD",0.769
51510200407,"Landmark, Alexandria, VA",0.7689
11001008200,"Northeast Washington, Washington, DC",0.7686
24033806200,"Hyattsville, MD",0.7677
11001001600,"Northwest Washington, Washington, DC",0.7674
24033801408,"Fort Washington, MD",0.7672
24031705902,"Bannockburn, Bethesda, MD",0.7669
51510201900,"Old Town, Alexandria, VA",0.7661
24033801906,"Morningside, MD",0.7661
24031701702,"Takoma Park, MD",0.7654
24033805909,"Hyattsville, MD",0.7649
51059452700,"Falls Church, VA",0.7649
24031705903,"Bethesda, MD",0.7649
11001001401,"Northwest Washington, Washington, DC",0.7643
51013103200,"Columbia Heights, Arlington, VA",0.7643
11001001301,"Northwest Washington, Washington, DC",0.7633
24033803803,"Riverdale, Woodlawn, MD",0.7629
24031706013,"Bethesda, MD",0.7624
51013101603,"North Rosslyn, Arlington, VA",0.762
11001000100,"Georgetown, Washington, DC",0.7619
24031704803,"Bethesda, MD",0.7616
51013102500,"Penrose, Arlington, VA",0.7609
24031704806,"Bethesda, MD",0.7606
11001001200,"Northwest Washington, Washington, DC",0.76
24033801708,"Oxon Hill, MD",0.7595
24033801214,"Clinton, MD",0.7588
24033801500,"Oxon Hill, MD",0.7585
51510200105,"Alexandria West, Alexandria, VA",0.7584
24033806501,"Riverdale, Riverdale Park, MD",0.7584
51510200406,"Landmark, Alexandria, VA",0.7574
24033801211,"Clinton, MD",0.7566
51059420100,"Springfield, VA",0.7555
24031705000,"Bethesda, MD",0.7552
24033803524,"Hyattsville, MD",0.7548
51059430600,"Springfield, VA",0.7546
51059420400,"Alexandria, VA",0.7546
51510200802,"Taylor Run, Alexandria, VA",0.7542
11001008002,"Northeast Washington, Washington, DC",0.754
51059450400,"Falls Church, VA",0.754
51013101402,"Virginia Square, Arlington, VA",0.7539
11001005301,"Northwest Washington, Washington, DC",0.7536
24033803606,"Lanham, MD",0.7536
51013102301,"Alcova Heights, Arlington, VA",0.7531
51510200202,"Seminary Hill, Alexandria, VA",0.7531
11001002702,"Mount Pleasant, Washington, DC",0.753
51059451200,"Falls Church, VA",0.7529
51013102801,"Columbia Forest, Arlington, VA",0.7523
24033803519,"Landover, Hyattsville, MD",0.7513
24033802002,"District Heights, MD",0.7511
24031702401,"Silver Spring, MD",0.75
11001006900,"Southeast Washington, Washington, DC",0.75
51059420202,"Alexandria, VA",0.75
24033804600,"Brentwood, MD",0.7492
24033802201,"Upper Marlboro, MD",0.7477
51013103402,"Crystal City, Arlington, VA",0.7475
51059450602,"Falls Church, VA",0.7469
24033806710,"Greenbelt, MD",0.7453
11001002002,"16th Street Heights, Washington, DC",0.7411
24033803509,"Dodge Park, Hyattsville, MD",0.7409
51059471000,"Falls Church, VA",0.7407
24033801904,"Suitland, Camp Springs, MD",0.7392
51510201204,"Del Ray, Alexandria, VA",0.7364
24033803610,"New Carrollton, MD",0.7331
11001008100,"Northeast Washington, Washington, DC",0.7325
24031705502,"Chevy Chase, MD",0.7325
24033803612,"Lanham, MD",0.7302
24033806601,"Prince Georges County, MD",0.7279
51013101702,"Radnor - Fort Myer Heights, Arlington, VA",0.7276
11001011000,"Southwest Washington, Washington, DC",0.724
24033803900,"Hyattsville, MD",0.7172
24033807200,"College Park, MD",0.7159
11001001002,"Cathedral Heights, Washington, DC",0.7153
24033807102,"Riverdale, Riverdale Park, MD",0.7134
24033802204,"District Heights, MD",0.712
24033804001,"Bladensburg, MD",0.7117
11001004100,"Northwest Washington, Washington, DC",0.7116
24033802600,"Capitol Heights, MD",0.7094
51013101403,"Virginia Square, Arlington, VA",0.7072
24031701704,"Takoma Park, MD",0.7004
24031705602,"Chevy Chase, MD",0.6996
51510201203,"Potomac West, Alexandria, VA",0.6978
51059451601,"Bailey's Crossroads, VA",0.6975
51013103300,"Arlington Views, Arlington, VA",0.6934
11001005600,"Northwest Washington, Washington, DC",0.692
11001006600,"Capitol Hill, Washington, DC",0.6893
51510200303,"Landmark, Alexandria, VA",0.6887
24033803801,"Hyattsville, MD",0.684
24031702500,"Downtown Silver Spring, Silver Spring, MD",0.677
51013103501,"Arlington Ridge, Arlington, VA",0.6755
24031701900,"Takoma Park, MD",0.667
11001000400,"Naval Observatory, Washington, DC",0.6644
51013102701,"Douglas Park, Arlington, VA",0.6609
24033804900,"Hyattsville, MD",0.6515
24033804300,"Hyattsville, MD",0.6381
24033801409,"Fort Washington, MD",0.637
11001000501,"Northwest Washington, Washington, DC",0.6286
24031702402,"Silver Spring, MD",0.6226
11001005201,"Downtown, Washington, DC",0.6211
11001009301,"Northeast Washington, Washington, DC",0.6194
24033801907,"Suitland, Suitland-Silver Hill, MD",0.6181
11001008001,"Northeast Washington, Washington, DC",0.5625
24033805601,"Hyattsville, MD",0.5559
51013101601,"North Highland, Arlington, VA",0.5458
24033802104,"District Heights, MD",0.5371
24033805000,"Hyattsville, MD",0.4955
24033805908,"Chillum, MD",0.4366
24033803300,"Hyattsville, MD",0.4315
11001010800,"Northwest Washington, Washington, DC",
24033801802,"Temple Hills, MD",
11001004801,"Northwest Washington, Washington, DC",
24033801808,"Hillcrest Heights, MD",
24033802805,"Pepper Mill Village, Capitol Heights, MD",
11001007401,"Barry Farm, Washington, DC",
11001009807,"Bellevue, Washington, DC",
11001007603,"Southeast Washington, Washington, DC",
11001007604,"Southeast Washington, Washington, DC",
11001001803,"Brightwood, Washington, DC",
11001007504,"Historic Anacostia, Washington, DC",
11001008701,"Eckington, Washington, DC",
24033802408,"Capitol Heights, MD",
11001007409,"Southeast Washington, Washington, DC",
11001002900,"Northwest Washington, Washington, DC",
24033801805,"Temple Hills, MD",
11001009505,"Northeast Washington, Washington, DC",
24033802404,"District Heights, MD",
11001009803,"Congress Heights, Washington, DC",
24033801908,"Suitland, Suitland-Silver Hill, MD",
11001004701,"Northwest Washington, Washington, DC",
11001009604,"Northeast Washington, Washington, DC",
24033802804,"Capitol Heights, MD",
11001003302,"Bloomingdale, Washington, DC",
24033801706,"Temple Hills, MD",
11001007708,"Southeast Washington, Washington, DC",
11001004802,"Northwest Washington, Washington, DC",
24033802106,"Suitland-Silver Hill, MD",
11001009508,"Northeast Washington, Washington, DC",
11001007901,"Northeast Washington, Washington, DC",
24033805202,"Takoma Park, MD",
24033801807,"Hillcrest Heights, MD",
11001009906,"Marshall Heights, Washington, DC",
11001001902,"Manor Park, Washington, DC",
11001010700,"Downtown, Washington, DC",
11001002202,"Northwest Washington, Washington, DC",
11001006202,"Northwest Washington, Washington, DC",
11001009507,"Northeast Washington, Washington, DC",
11001007807,"Northeast Washington, Washington, DC",
11001002101,"Brightwood Park, Washington, DC",
11001009811,"Southeast Washington, Washington, DC",
24033803508,"Glenarden, MD",
11001008410,"Northeast Washington, Washington, DC",
11001003600,"Columbia Heights, Washington, DC",
11001007407,"Barry Farm, Washington, DC",
11001006400,"Southwest Washington, Washington, DC",
24033805602,"Hyattsville, MD",
11001007809,"Northeast Washington, Washington, DC",
11001009400,"Northeast Washington, Washington, DC",
24033801804,"Temple Hills, MD",
24033803200,"Hyattsville, MD",
11001011100,"Northeast Washington, Washington, DC",
11001007404,"Douglass, Washington, DC",
11001007903,"Kingman Park, Washington, DC",
11001008802,"Northeast Washington, Washington, DC",
11001003301,"Bloomingdale, Washington, DC",
11001001804,"Brightwood, Washington, DC",
11001002301,"Northwest Washington, Washington, DC",
11001004902,"Downtown, Washington, DC",
11001007502,"Southeast Washington, Washington, DC",
24033803401,"Landover, Hyattsville, MD",
11001003100,"Northwest Washington, Washington, DC",
11001007408,"Southeast Washington, Washington, DC",
11001010600,"Near Northeast, Washington, DC",
11001008702,"Eckington, Washington, DC",
11001005001,"Logan Circle, Washington, DC",
11001005900,"Northwest Washington, Washington, DC",
11001009503,"Northeast Washington, Washington, DC",
11001004901,"Northwest Washington, Washington, DC",
24033804802,"Mount Rainier, MD",
11001009601,"Kenilworth, Washington, DC",
11001006804,"Southeast Washington, Washington, DC",
11001007804,"Lincoln Heights, Washington, DC",
24033802406,"Suitland, Suitland-Silver Hill, MD",
24033803402,"Landover, Hyattsville, MD",
11001009201,"Edgewood, Washington, DC",
11001002201,"Northwest Washington, Washington, DC",
11001003500,"Northwest Washington, Washington, DC",
11001007304,"Congress Heights, Washington, DC",
11001008904,"Carver / Langston, Washington, DC",
24033803100,"Capitol Heights, MD",
11001002501,"16th Street Heights, Washington, DC",
24033802502,"Capitol Heights, MD",
24033805201,"Hyattsville, MD",
24033802901,"Capitol Heights, MD",
24033803514,"Largo, MD",
24033803601,"Springdale, MD",
24033801801,"Temple Hills, MD",
11001010400,"Southeast Washington, Washington, DC",
11001007803,"Lower Central NE, Washington, DC",
11001007709,"Fairlawn, Washington, DC",
11001004702,"Northwest Washington, Washington, DC",
11001009810,"Southeast Washington, Washington, DC",
24033802803,"Capitol Heights, MD",
11001003700,"Northwest Washington, Washington, DC",
11001009000,"Fort Lincoln, Washington, DC",
11001007806,"Northeast Washington, Washington, DC",
11001007808,"Grant Park, Washington, DC",
11001002302,"Northwest Washington, Washington, DC",
11001010900,"Southwest Washington, Washington, DC",
24033801704,"Oxon Hill, MD",
11001007605,"Fairlawn, Washington, DC",
11001009602,"Mayfair, Washington, DC",
11001009700,"Southeast Washington, Washington, DC",
11001007100,"Southeast Washington, Washington, DC",
11001009903,"Southeast Washington, Washington, DC",
11001000201,"Georgetown, Washington, DC",
11001002801,"Columbia Heights, Washington, DC",
24033802107,"District Heights, MD",
11001008903,"Carver / Langston, Washington, DC",
24033803002,"Capitol Heights, MD",
11001007703,"Fort Dupont, Washington, DC",
11001009102,"Brentwood, Washington, DC",
11001004600,"Northwest Washington, Washington, DC",
11001009804,"Southeast Washington, Washington, DC",
11001007403,"Shipley, Washington, DC",
11001009801,"Southeast Washington, Washington, DC",
11001003200,"Northwest Washington, Washington, DC",
11001007707,"Benning Ridge, Washington, DC",
11001009802,"Southeast Washington, Washington, DC",
11001002400,"Northwest Washington, Washington, DC",
11001008804,"Northeast Washington, Washington, DC",
11001009905,"Marshall Heights, Washington, DC",
24033801600,"Oxon Hill, MD",
11001007406,"Southeast Washington, Washington, DC",
11001003400,"Howard University, Washington, DC",
24033803525,"Hyattsville, MD",
11001009204,"Edgewood, Washington, DC",
24033803521,"Bowie, MD",
11001009203,"Northeast Washington, Washington, DC",
11001008803,"Northeast Washington, Washington, DC",
11001007601,"Southeast Washington, Washington, DC",
11001002102,"Northwest Washington, Washington, DC",
11001001901,"Brightwood, Washington, DC",
11001004300,"Northwest Washington, Washington, DC",
11001007503,"Historic Anacostia, Washington, DC",
11001007200,"Capitol Riverfront, Washington, DC",
11001009302,"Brookland, Washington, DC",
11001009904,"Marshall Heights, Washington, DC",
24033802501,"Suitland, Suitland-Silver Hill, MD",
11001009901,"Penn Branch, Washington, DC",
24033803001,"Capitol Heights, MD",
11001009603,"Northeast Washington, Washington, DC",
11001006801,"Hill East, Washington, DC",
11001009509,"Michigan Park, Washington, DC",
11001002502,"Northwest Washington, Washington, DC",
11001009907,"Southeast Washington, Washington, DC",
11001003000,"Columbia Heights, Washington, DC",
24033802405,"Suitland, Suitland-Silver Hill, MD",
24033803602,"Glenarden, MD",
